PART_NUMBER,REGIMEN,TypeMaterial,DESCRIPTION_EN,DESCRIPCION_ES,UMC,UMT,HTSMX,HTSMXBASE,HTSMXNICO,IGI_DUTY,PROSEC,R8,DESCRIPCION_R8,RRYNA_NON_DUTY_REQUIREMENTS,REMARKS,NETWEIGHT,IMPORTED_OR_NOT,SENSIBLE,HTS_SerialNo,CLAVESAT,DESCRIPCION_CN,MATERIAL_CN,MATERIAL_EN,FUNCTION_CN,FUNCTION_EN,COMPANY
5HYV-223032-1C01,IN,0,REAR INNER PLATE CARGO BOX,PANEL DE PUERTA TRASERA,PZA,PZA,8708290400,87082904,0,0,,,,NO RRNA,0,2.19,Y,N,0,25181604,,,,,,
ONYV-120100-3000,IN,,,PARTE PARA CARROCERIA,,KG,8708299999,87082999,99,35,Ex. ,,,,0,0,Y,N,,25181604,,,,,,
5SYV-060410-6002-0BP00,IN,0,REAR RH LOWER SWING ARM ASSY,ENSAMBLE DE BRAZO OSCILANTE INFERIOR TRASERO DERECHO,PZA,PZA,8708800700,87088007,0,5,Ex. ,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,4.8,Y,N,0,25172000,,,,,,
5SYV-060500-8001,IN,,REAR SHOCK ABSORBER,AMORTIGUADOR,PZA,PZA,8708809900,87088099,0,5,Ex. ,,,NOM-050-SCFI-2004,,4.198,Y,N,CF SALE MXHTS2025040002,25172000,,,,,,
5BYV-376000-6001-0BQ00,IN,KD,LH REAR DOOR ASSY,PUERTA,PZA,PZA,8708291900,87082919,0,0,,,,,,6.74,Y,N,CF SALE MXHTS2025050007,25172200,,,,,,
0NYV-064001-3001,IN,KD,Variable speed nave,PARTE PARA TRANSMISION,PZA,PZA,8708409999,87084099,99,5,3,1931R825050355,PARTE PARA TRANSMISION  SOPORTE DE TRASMISION PARA AJUSTE DE CHICOTE  MONTAJE PARA CAJA DE CAMBIOS  EJE IMPULSOR TRASERO  PALANCA DE VELOCIDADES  BALANCIN DE SELECTOR DE CAMBIOS  CAJA DE ENGRANES 8708409999,,,0.196,Y,N,CF SALE MXHTS2025050009,25174800,,,,,,
960010-00210,A1,Equipo,Grinder Stator,ESTATOR,PZA,PZA,8503009903,85030099,3,5,,,,,,0.18,Y,N,0,25174800,,,,,,
940010-08222,A1,Equipo,Circuit Breaker,DISYUNTOR,PZA,PZA,8536209900,85362099,0,5,Ex. ,,,NO RRNA,0,0.4,Y,N,0,39121602,,,,,,
5SYV-043010-8000,IN,KD,CUP HOLDER DECO PLATE,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,,,0.272,Y,N,0,25181604,,,,,,
5BWV-050500-5000,IN,0,FRONT SHOCK ABSORBER,AMORTIGUADOR DELANTERO,PZA,PZA,8708809900,87088099,0,5,Ex. ,,,NOM-050-SCFI-2004,,4.198,Y,N,0,25172000,,,,,,
9030-020002,IN,0,SPRING,RESORTES DE ACERO,PZA,PZA,7320200599,73202005,99,0,,,,NO RRNA,0,0.14,Y,N,0,31161508,,,,,,
5HYV-160116-6000,IN,0,RH HIGH-BEAM,REFLECTOR DE USO AUTOMOTRIZ,PZA,KG,3926300299,39263002,99,15,Ex. ,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.3,Y,N,0,13101600,,,,,,
5HYV-220004-1C00,IN,0,LOWER HEAT INSULATOR CARGO BOX,PARTES TROQUELADAS PARA CARROCERIA,PZA,PZA,8708292000,87082920,0,5,Ex. ,,,NO RRNA,0,0.5,Y,N,0,25181600,,,,,,
960010-030795,A1,Embalaje,Heat shrink tubing O round diameter 1 cm High temperature resistant 125a  100 meters/roll,TUBO DE CAUCHO SN ACCESORIOS,PZA,KG,4009110200,40091102,0,0,,,,,,0.979,Y,N,CF SALE MXHTS2025110028,,c c1 4 Tube Oa c a3 4 1aZ c 3 e e 125a 100c 3 a,rubber,Rubber,Repair,Repair,two wheeler
5BWV-190005-5000,IN,0,LH FRONT REFLECTIVE FILM,ETIQUETA AUTOADHESIVA,PZA,KG,3919909900,39199099,0,35,,1931R825051346,ETIQUETA AUTOADHESIVA 3919909900 REFLEJANTE AUTOADHESIVO 3919909900 CALCOMANIA 3919909900,NO RRNA,0,0.001,Y,N,0,55121606,,,,,,
5HYV-221040-6001-H1M,IN,KD,Center Crossbeam B of Cargo Box,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,,,1.44,Y,N,CF SALE MXHTS2025050073,25181604,,,,,,
601401-00749,A1,Equipo,sleeve,DADO,PZA,PZA,8204209900,82042099,0,10,Ex. ,,,,CONFIRM THAT THE BRAND IS NOT VISIBLE,0.05,Y,N,CF SALE MXHTS2025020017,31171502,,,,,,
940010-10160,A1,Equipo,Drive controller,CONTROLADOR DE VELOCIDAD,PZA,PZA,8504401300,85044013,0,5,Ex. ,,,0,0,0.49,Y,N,0,26111544,,,,,,
5HY1-220003-860-001-Z,A1,HerramietasDeTrabajo,Inspection Tool for Cargo Box Door Hinge Shaft,CALIBRE DE CONTROL,PZA,PZA,9031809999,90318099,99,0,,,,,,490,Y,N,CF SALE MXHTS2025050032,25174800,,,,,,
5BYV-109400-6000,IN,0,RH WIRE CLIP ASSY,CLIP DE ALAMBRE,PZA,PZA,7326200699,73262006,99,30,,1931R825053462,ABRAZADERA 7326200699,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.076,Y,N,0,39121702,,,,,,
B20251124,A1,Equipo,Pipe wrench,LLAVE PARA TUBOS,PZA,PZA,8204129999,82041299,99,15,Ex.,,,NORMA DE ETIQUETADO: NOM-050-SCFI-2004,,18,Y,N,CF SALE MXHTS2025110029,,Tubee 3,iron,iron,c 3 4a1 4 Tubee Z a a e e c e a,Tighten or loosen pipe joints valves and other components,four wheeler
1F3V-172000-1000,IN,KD,CANISTER MAGNETIC VALVE,VALVULA AUTOMATICA,PZA,PZA,8481209903,84812099,3,0,,,,NOM-093-SCFI-2020,,0.087,Y,N,CF SALE MXHTS2025040016,25174800,,,,,,
5HY0-222020,IN,0,LH BRACKET CARGO BOX DOOR,SOPORTE IZQUIERDO PARA PUERTA DE LA CAJA DE CARGA,PZA,PZA,8708999999,87089999,99,0,,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.15,Y,N,0,25181604,,,,,,
5GYO-372003-1000,A1,HerramietasDeTrabajo,Left Front Door Armrests,MOLDE DE INYECCION DE PLASTICO,PZA,PZA,8480710399,84807103,99,0,,,,,,1100,Y,N,CF SALE MXHTS2025120008,23151514,a a e,S50C,S50C,Mass production of plastic parts using specific molding processes,Mass producing plastic parts through specific molding processes,four wheeler
5SYV-030370-8000-H1M,IN,KD,Front Seat Slide Rail Mounting Plate a...,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,,,0.03,Y,N,CF SALE MXHTS2025050073,25181604,,,,,,
5SYV-190001-8000-11,IN,KD,Handle c,ETIQUETAS INFORMATIVA,PZA,KG,4911999999,49119999,99,15,,1931R825051343,ETIQUETAS INFORMATIVA PEGANTINAS INFORMATIVA ETIQUETAS INFORMATIVA IMPRESA ADHESIVA 4911999999,,,0.001,Y,N,CF SALE MXHTS2025050071,55121606,,,,,,
5HY1-8,IN,KD,Soporte de brazo de balancin delantero inferior chapa de refuerzo,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex.,,,,,2,Y,N,CF SALE MXHTS2025110036,25181604,a e z a aS a1 4oe e,Steel,Steel,5HV1 spare parts,Pieza de repuesto,four wheeler
B20251138,A1,Equipo,Drill bit,BROCAS DE CARBUROS,PZA,PZA,8207500704,82075007,4,35,,,,NOM DE ETIQUETADO: NOM-050-SCFI-2004/ unicamente: Brocas con parte operante de diamante o de carbur,,1.28,Y,N,CF SALE MXHTS2025110029,,drill,Carbide,Hard alloy,drilling,Drilling,four wheeler
5HYV-070203-6000,IN,0,WHEEL NUT,TUERCA,PZA,KG,7318160603,73181606,3,35,,1931R825050547,TUERCA 7318160603,,,0.001,Y,N,0,31161700,,,,,,
5HY1-001001-10-Z,A1,HerramietasDeTrabajo,Middle base plate pick-up fixture,DISPOSITIVO DE SUJECION (FIXTURE),PZA,PZA,8479899999,84798999,99,0,,,,,,10.4,Y,N,CF SALE MXHTS2025040014,25174800,,,,,,
0JYV-178000-4001,IN,0,HIGH-TENSION CABLE,CABLE PARA BUJIAS,PZA,PZA,8544309999,85443099,99,5,Ex. Excepto: Arneses reconocibles como diseNados exclusivamente para uso automotriz.,,,NOM-024-SCFI-2013,Need to label specific NOM-024 shipment mark,0.049,Y,N,0,26121800,,,,,,
940010-08457,A1,Equipo,Reducer,REDUCTOR,PZA,PZA,8483400999,84834009,99,0,,,,NO RRNA,0,18,Y,N,0,40141900,,,,,,
5HY0-320001,IN,0,LOWER BRACKET CABLE,SOPORTE DE TRASMISION PARA AJUSTE DE CHICOTE,PZA,PZA,8708409999,87084099,99,5,3,1931R825050355,PARTE PARA TRANSMISION  SOPORTE DE TRASMISION PARA AJUSTE DE CHICOTE  MONTAJE PARA CAJA DE CAMBIOS  EJE IMPULSOR TRASERO  PALANCA DE VELOCIDADES  BALANCIN DE SELECTOR DE CAMBIOS  CAJA DE ENGRANES 8708409999,NO RRNA,0,0.131,Y,N,0,25181604,,,,,,
9060-080003,IN,0,RETURN SPRING,RESORTE,PZA,PZA,7320200502,73202005,2,0,,,,NO RRNA,0,0.47,Y,N,0,31161904,,,,,,
5HY0-031970-2MP0M,A1,0,LH MAIN BEAM ASSY,PARTE DE CHASIS,PZA,PZA,8708999999,87089999,99,0,,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,5.768,Y,N,0,25181600,,,,,,
5HY0-030410,IN,0,MOUNT SEAT REGULATOR,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.12,Y,N,0,25181604,,,,,,
5FYV-372100-030-001-W,A1,HerramietasDeTrabajo,5FYV Left Front Door Welding Assembly 1 / 5FYV Left Front Door Welding Assembly 2,HERRAMENTAL PARA PLANTA DE ENSAMBLE,PZA,PZA,8479899999,84798999,99,0,,,,NOM-050-SCFI-2004 NOM-024-SCFI-2013/EX,,1147,Y,N,CF SALE MXHTS2025110040,,5FYVa a e c S Z c a a 5FYVa a e c S Z c a ao,Steela Resina Aluminum alloy,Steel resin aluminum alloy,Fixtures for fixing clamping and positioning welded parts,Clamp for fixing a pressing and a positioning the welded parts,four wheeler
JXMF-MX-0141,A1,Equipo,valve handle,PARTE DE VALVULA,PZA,PZA,8481900599,84819005,99,0,,,,,,0.2,Y,N,CF SALE MXHTS2025060034,25174800,,,,,,
JXMF-MX-0118,A1,Equipo,terminals DT70,TERMINAL,PZA,PZA,7419200200,74192002,0,15,3,,,,,0.08,Y,N,CF SALE MXHTS2025060034,25174800,,,,,,
5HYV-081000-6002,IN,,HYDRAULIC BRAKE ASSY,SISTEMA DE FRENADO,PZA,PZA,8708309901,87083099,1,0,,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,12.5,Y,N,0,,,,,,,
5BWV-030070-5000,IN,0,REAR GIRDER PIPE,TUBO DE VIGA TRASERO,PZA,KG,8708299908,87082999,8,35,Ex. ,,,NO RRNA,0,0.118,Y,N,0,25181604,,,,,,
5SYV-050210-6001-0BP00,IN,0,FRONT LH LOWER SWING ARM ASSY,ENSAMBLE DE BRAZO OSCILANTE INFERIOR DELANTERO IZQUIERDO,PZA,PZA,8708800700,87088007,0,5,Ex. ,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,2.8,Y,N,0,25172000,,,,,,
5BWV-043052-5000,IN,0,SERVICE COVER SIDE BUMPER,CUBIERTA DE PARACHOQUES LATERAL,PZA,PZA,8708109900,87081099,0,10,3,1931R825050493,"PASTES DEL PARACHOQUES , PARACHOQUES  PARTE DE LA ESTRUCTURA INTERIOR DEL VEHICULO 8708109900",NO RRNA,0,0.6,Y,N,0,25181604,,,,,,
5BYV-372000-8000-0BM00,IN,0,LH SIDE DOOR ASSY,PANEL DE PUERTA,PZA,PZA,8708290400,87082904,0,0,,,,NO RRNA,0,0.032,Y,N,0,25181604,,,,,,
5ASV-042065-6001,IN,KD,REAR SKID PLATE,GUARNICION PARA CARROCERIA DE PLASTICO,PZA,KG,3926300299,39263002,99,15,Ex. ,,,NOM-050-SCFI-2004,,0.385,Y,N,CF SALE MXHTS2025050007,25172600,,,,,,
30006-080040810,IN,0,BOLT M8x40,PERNOS ROSCADOS DE USO AUTOMOTRIZ,PZA,KG,7318159903,73181599,3,35,,1931R825050575,TORNILLO DE ACERO DE USO AUTOMOTRIZ  PERNOS ROSCADOS DE USO AUTOMOTRIZ  MONTAJE DE LA PLACA DE PROTECCION 7318159903,,,0.002,Y,N,0,31161500,,,,,,
5BYV-050410-8000-0BP00,IN,0,FRONT RH LOWER SWING ARM ASSY,ENSAMBLE DE BRAZO OSCILANTE INFERIOR DELANTERO DERECHO,PZA,PZA,8708800700,87088007,0,5,Ex. ,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,3.087,Y,N,0,25172000,,,,,,
5HY0-360008,IN,KD,FUEL VAPOR HOSE 4,MANGUERA,PZA,KG,4009110200,40091102,0,0,,,,,,0.16,Y,N,CF SALE MXHTS2025040016,25174800,,,,,,
5HYV-021130-6000,IN,KD,EXHAUST MANIFOLD HEAT INSULATOR 2,CUBIERTA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,,,0.179,Y,N,CF SALE MXHTS2025060043,25174800,,,,,,
5BWV-043064-5000,IN,0,ECU CAP,CUBIERTA DE MODULO DE CONTROL,PZA,PZA,8538100100,85381001,0,0,,,,NO RRNA,0,0.5,Y,N,0,25181604,,,,,,
TBQ231,A1,0,PROTECTIVE PAD,ALMOHADILLA PROTECTORA PARA EL TRANSPORTE,PZA,KG,3923909900,39239099,0,15,Ex. ,,,NO RRNA,0,0.1,Y,N,0,23153103,,,,,,
5HYV-221000-1C00,IN,0,BASE FRAME ASSY,ENSAMBLE DE PLACA,PZA,PZA,8708999999,87089999,99,0,,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,15.5,Y,N,0,25181600,,,,,,
01A0-013005,IN,KD,0-ring 13A-2,SELLO,PZA,KG,4016930401,40169304,1,0,,,,,,0.002,Y,N,CF SALE MXHTS2025050009,25174800,,,,,,
601601-00685,A1,Equipo,Taps,MACHUELO,PZA,PZA,8207400401,82074004,1,0,,,,,CONFIRM THAT THE BRAND IS NOT VISIBLE,0.034,Y,N,CF SALE MXHTS2025020017,25174800,,,,,,
5SYV-001000-6600,IN,0,ECM ASSY,UNIDAD DE CONTROL ELECTRONICO PARA VEHICULO AUTOMOTRIZ,PZA,PZA,8537100600,85371006,0,0,,,,NO RRNA,0,0.4,Y,N,0,39121552,,,,,,
5HYV-150131-9001,IN,KD,Left Front Door Wiring Harness,ARNES PARA USO AUTOMOTRIZ,PZA,PZA,8544309901,85443099,1,5,Ex. Excepto: Arneses reconocibles como diseNados exclusivamente para uso automotriz.,1931R825050647,ARNES PARA USO AUTOMOTRIZ ARNES ARNES ELECTRICO ARNES DE CABLES 8544309901,,,1.5,Y,N,CF SALE MXHTS2025080004,26121800,,,,,,
5BYV-378000-6001-0RM00,IN,0,RH REAR DOOR ASSY,ENSAMBLE DE PUERTA TRASERA DERECHA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,12.1,Y,N,0,25172200,,,,,,
5BWV-042027-5000,IN,0,DEFLECTOR LH AIR INLET PORT,GUARNICION PARA CARROCERIA DE PLASTICO,PZA,KG,3926300299,39263002,99,15,Ex. ,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.324,Y,N,0,25181600,,,,,,
JXMF-MX-0114,A1,Equipo,rubber ring,EMPAQUE,PZA,KG,4016930499,40169304,99,0,,,,,,1,Y,N,CF SALE MXHTS2025060034,25174800,,,,,,
JXMF-MX-0170,A1,Equipo,Three way gas pipe joint6mm,CONECTOR,PZA,KG,3917400100,39174001,0,0,,,,,,0.01,Y,N,CF SALE MXHTS2025060034,25174800,,,,,,
940010-06205,A1,Equipo,CYLINDER,CILINDRO NEUMATICO,PZA,PZA,8412319900,84123199,0,0,,,,,,474,Y,N,CF SALE MXHTS2025110066,,e az c1 4 a c cY3,Aluminum alloy,ALLOY,The pressure energy of compressed gas is converted into mechanical energy,CYLINDERS ARE CORE PNEUMATIC ACTUATORS THAT CONVERT THE PRESSURE ENERGY OF COMPRESSED AIR INTO MECHANICAL ENERGY MAINLY REALIZING LINEAR RECIPROCATING MOTION OR OSCILLATING MOTION TO DRIVE INDUSTRIAL EQUIPMENT,four wheeler
601401-00073,A1,Equipo,Sander tray,DISCO PARA AMOLADORA,PZA,KG,6804210299,68042102,99,0,,,,0,0,0.05,Y,N,0,27113300,,,,,,
601601-00955,A1,Equipo,Twist Drill Bit 10.5,BROCA,PZA,PZA,8207500703,82075007,3,35,,,,,,0.05,Y,N,0,25174800,,,,,,
940010-12711,A1,Equipo,Vibration sieveclamp,ABRAZADERA,PZA,PZA,7326909903,73269099,3,35,,,,SEMARNAT/ EX,,1.24,Y,N,CF SALE MXHTS2025110035,,aS c a c,a e steel,ALLOY STEEL,c aoZ aS c a oa se c1 2,Fixture for vibrating screen,four wheeler
TP005,IN,KD,paint strippera,SOLVENTE,PZA,KG,3814000100,38140001,0,6,3,,,NOM-050-SCFI-2004,,25,Y,N,CF SALE MXHTS2025110008,,Paint Remover,organic solvent,Organic solvent,c aoZe Z a a e e 21 1 4,Used for removing the paint from the surface of the workpiece,four wheeler
5SYV-352110-8300,IN,KD,HEATER INTAKE PIPE 1,TUBOS PREFORMADOS PARA REFRIGERANTE,PZA,PZA,8708999999,87089999,99,0,,,,,0,0.37,Y,N,CF SALE MXHTS2025040002,25174800,,,,,,
5SYV-134000-2600-36,IN,KD,"Pan-head Cross Self-tapping Screw ST5x16,White Zinc",TORNILLO,PZA,KG,7318150400,73181504,0,35,Ex. ,,,NOM-050-SCFI-2004,,0.001,Y,N,CF SALE MXHTS2025060011,25174800,,,,,,
Q870-333105,IN,KD,Planetary gear,ENGRANE,PZA,PZA,8483400999,84834009,99,0,,,,,,0.107,Y,N,CF SALE MXHTS2025050009,25174800,,,,,,
5HYV-032260-6001-H1M,IN,KD,Seat cushion crossbeam assembly.,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,4.521,Y,N,0,25181604,,,,,,
5HYV-030530-4500-H1,IN,KD,Retractor mounting seat component,PARTE DEL DISPOSITIVO RETRACTOR,PZA,PZA,8708292300,87082923,0,0,,,,,,0.08,Y,N,CF SALE MXHTS2025070005,25174800,,,,,,
JXMF-MX-0132,A1,Equipo,flange gasket DN200,JUNTA,PZA,KG,4016930499,40169304,99,0,,,,,,0.1,Y,N,CF SALE MXHTS2025060034,25174800,,,,,,
5HY1-20250106-012,A1,Equipo,IGBT driver P board,CIRCUITO ELECTRONICO,PZA,PZA,8542310399,85423103,99,0,,,,,,1,Y,N,0,25174800,,,,,,
940010-08508,A1,Equipo,Sensor,SENSOR,PZA,PZA,9032899900,90328999,0,5,Ex. ,,,NO RRNA,0,1.2,Y,N,0,41112400,,,,,,
0JWV-114003-3200,IN,KD,CRANKCASE BREATHER HOSE a...,TUBERIA PREFORMADA,PZA,PZA,8708999999,87089999,99,0,,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.07,Y,N,0,25181600,,,,,,
5ASV-190311-6T00-10,IN,0,EPS DECAL, CALCOMANIAS DE PLASTICO,PZA,KG,4908909901,49089099,1,35,0,1931R825050569,ETIQUETA AUTOADHESIVA  CALCOMANIAS DE PLASTICO  CALCOMANIA PARA PUERTA  CALCOMANIAS DECORATIVAS PARA VEHICULOS  ETIQUETAS ADHESIVAS IMPRESA DE PLASTICO   ETIQUETAS ADHESIVAS  DE PLASTICO  ETIQUETA DE DESCRIPCION DE CAPACIDAD DE REMOLQUE  ETIQUETA DE MANIJA  ETIQUETA PLASTICA  CALCOMANIAS DECORATIVAS PARA CARROCERIA  ETIQUETAS ADHESIVAS  DE PLASTICO 4908909901,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.001,Y,N,0,25172000,,,,,,
5HYV-341100-6000,IN,0,DRIVER SEAT BELT ASSY,CINTURON DE SEGURIDAD,PZA,PZA,8708210100,87082101,0,0,,,,NOM-119-SCFI-2000,Can be imported,1.7,Y,N,0,25181600,,,,,,
5BWV-031311-5001-H1M,IN,0,Front upper beam reinforcing tube,MARCO INTERIOR DEL VEHICULO,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.284,Y,N,0,25181604,,,,,,
TY15-990990-0109-Z,A1,HerramietasDeTrabajo,THE JIG FOR TIGHITEN BOLT,HERRAMENTAL PARA AJUSTAR TORNILLOS,PZA,PZA,8479899999,84798999,99,0,,,,,,144.55,Y,N,CF SALE MXHTS2025110004,,Fancy Bolt Fastening Tooling,steel,STEEL,Assembling the complete vehicle,Assemble the whole vehicle,two wheeler
601401-00091,A1,Equipo,sleeve,DADO MAGNETICO,PZA,PZA,8204209900,82042099,0,10,Ex. ,,,,CONFIRM THAT THE BRAND IS NOT VISIBLE,0.05,Y,N,CF SALE MXHTS2025020017,31171502,,,,,,
940010-11170,A1,Equipo,diaphragm pump,BOMBA DE DIAFRAGMA,PZA,PZA,8413509999,84135099,99,0,,,,,,8,Y,N,CF SALE MXHTS2025040015,40151500,,,,,,
B20251140,A1,Equipo,Drill bit,BROCAS DE CARBUROS,PZA,PZA,8207500704,82075007,4,35,,,,NOM DE ETIQUETADO: NOM-050-SCFI-2004/ unicamente: Brocas con parte operante de diamante o de carbur,,4,Y,N,CF SALE MXHTS2025110029,,drill,Carbide,Hard alloy,drilling,Drilling,four wheeler
9DQV-101200-3001,IN,0,WELDING COMBINATION OF STEERING SHAFT,EJE PARA DIRECCION,PZA,KG,8708941206,87089412,6,0,,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,1.8,Y,N,0,25181604,,,,,,
A000-050015,IN,0,WIRE CLIP FRONT BRAKE FLUID HOSE,ABRAZADERA,PZA,KG,3926909906,39269099,6,0,,,,NOM-050-SCFI-2004,,0.002,Y,N,0,31162400,,,,,,
601601-00964,A1,Equipo,Twist Drill Bit 16,BROCA,PZA,PZA,8207500703,82075007,3,35,,,,,,0.05,Y,N,0,25174800,,,,,,
9CR6-020003,IN,0,WIRE WASHER,ARANDELA DE ACERO,PZA,KG,7318229199,73182291,99,35,,1931R825050385,ARANDELA DE ACERO 7318229199,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.01,Y,N,0,31161800,,,,,,
5FY0-374008-1000,A1,HerramietasDeTrabajo,Right Door Speaker Trim Panels,MOLDE DE INYECCION DE PLASTICO,PZA,PZA,8480710399,84807103,99,0,,,,,,1200,Y,N,CF SALE MXHTS2025120008,23151514,a 3e eY3a e e i1 4,S50C,S50C,Mass production of plastic parts using specific molding processes,Mass producing plastic parts through specific molding processes,four wheeler
5KWV-180003-1000,IN,0,ENGINE WATER INLET PIPE,MANGUERA,PZA,KG,4009110200,40091102,0,0,,,,NO RRNA,0,0.294,Y,N,0,27131600,,,,,,
5HYV-042061-6000,IN,0,FRONT SKID PLATE,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.4,Y,N,0,25181604,,,,,,
601401-01082,A1,Equipo,adaptor,ADAPTADOR,PZA,PZA,8207909900,82079099,0,35,Ex. ,,,,CONFIRM THAT THE BRAND IS NOT VISIBLE,0.3,Y,N,CF SALE MXHTS2025020017,25174800,,,,,,
5BWV-040016-5000,IN,0,INNER HEX SLEF-TAPPING SCREW ST4.8x16,TORNILLO DE ACERO DE USO AUTOMOTRIZ,PZA,KG,7318159903,73181599,3,35,,1931R825050575,TORNILLO DE ACERO DE USO AUTOMOTRIZ  PERNOS ROSCADOS DE USO AUTOMOTRIZ  MONTAJE DE LA PLACA DE PROTECCION 7318159903,,,0.0013,Y,N,0,31161500,,,,,,
5BWV-060001-5000,IN,0,PRESS COVER REAR SWAY BAR,ROTULAS PARA BARRA ESTABILIZADORA,PZA,PZA,8708800500,87088005,0,0,,,,NO RRNA,0,0.348,Y,N,0,39122109,,,,,,
940010-08312,A1,Equipo,Plastic Box for controller,CAJA DE PARED,PZA,KG,3925909900,39259099,0,15,Ex. ,,,NO RRNA,0,1.2,Y,N,0,25174800,,,,,,
5BYV-030200-6901,IN,KD,RH REAR SEAT BRACKET ASSY,ENSAMBLE DE SOPORTE DE ASIENTO,PZA,KG,8708299905,87082999,5,35,Ex. ,,,,,2.273,Y,N,CF SALE MXHTS2025050007,25174600,,,,,,
940010-08675,A1,Equipo,Slow down the mixer,MOTOR,PZA,PZA,8501510200,85015102,0,15,Ex. ,,,NO RRNA,0,20,Y,N,0,26101900,,,,,,
601401-00741,A1,Equipo,wrench,UTIL INTERCAMBIABLE,PZA,PZA,8207909900,82079099,0,35,Ex. ,,,,CONFIRM THAT THE BRAND IS NOT VISIBLE,0.05,Y,N,CF SALE MXHTS2025020017,27111706,,,,,,
5KWV-042072-1000,IN,0,REAR RH SKID PLATE,PLACA INFERIOR TRASERA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.7,Y,N,0,25181604,,,,,,
5KW0-030-005-01,A1,HerramietasDeTrabajo,Frame welding fixture fixing plate,PARTE PARA SISTEMA DE FIJACION,PZA,PZA,8479901899,84799018,99,0,,,,,NA ,136,Y,N,0,23271713,,,,,,
5KWV-190014-2000,IN,0,ANTI-ROLLING BAR WARNING LABEL,ETIQUETA AUTOADHESIVA,PZA,KG,3919909900,39199099,0,35,,1931R825051346,ETIQUETA AUTOADHESIVA 3919909900 REFLEJANTE AUTOADHESIVO 3919909900 CALCOMANIA 3919909900,NO RRNA,0,0.005,Y,N,0,55121606,,,,,,
30200-102810,IN,0,BUMPER Y CAB FRAME,TUERCA,PZA,KG,7318160603,73181606,3,35,,1931R825050547,TUERCA 7318160603,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.227,Y,N,0,31161700,,,,,,
5KWV-230100-1000-0BP00,IN,0,FRONT CAB ASSY,MONTAJE DE CABINA DELANTERO,PZA,KG,8708299908,87082999,8,35,Ex. ,,,NO RRNA,0,15.65,Y,N,0,25181604,,,,,,
5SYV-290100-8000,IN,KD,FRONT DRIVE SHAFT,EJE DE TRANSMISION,PZA,PZA,8708509999,87085099,99,5,3 unicamente: Fundas para ejes traseros; flechas semiejes acoplables al mecanismo diferencial incluso las de velocidad constante (homocineticas) y sus partes componentes; juntas universales tipo cardan para cruceta; ejes cardanicos.,1931R825050423,EJE DE TRANSMISION  SOPORTE DE EJE  CUBO DE RUEDA PARA TRANSMISION  PARTE DEL EJE  BRAZO PARA SUSPENSION  DIFERENCIAL 8708509999,,,10.249,Y,N,0,25171500,,,,,,
B20251141,A1,Equipo,European standard plug,CLAVIJAS,PZA,PZA,8536699902,85366999,2,0,,,,NOM DE ETIQUETADO: NOM-050-SCFI-2004,,2,Y,N,CF SALE MXHTS2025110029,,a,plastica e,Plastic copper,e z Z a socketa Sa oa a e sc,Connect it to the socket to power on the tool,four wheeler
5HYV-805302-9001,IN,KD,Wiper Arm,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,,,0.116,Y,N,CF SALE MXHTS2025080004,25181604,,,,,,
5HYV-030200-6000,IN,0,SEAT BRACKET,SOPORTE,PZA,PZA,8708999999,87089999,99,0,,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,4.964,Y,N,0,25181600,,,,,,
